Name,Latitude,Longitude
Herrero Castrillo Piedad,404.486.979,-37.005.776
Farmacia ES26 - Lda. Carmen Sánchez Morales,404.459.697,-36.918.435
Farmacia,404.459.697,-36.918.435
FARMACIA MARTEL,404.301.441,-38.176.307
Farmacia 24 Horas Alcorcon Picos De Europa,40.346.607,-39.633.858
Farmacia Almudena Barbero Marí,40.346.607,-39.633.858
Farmacia,40.346.607,-39.633.858
Farmacia Prosperidad Licenciada Estefania Jimenez Rivas,404.201.778,-38.156.507
Farmacia Astura 24 h,404.201.778,-38.156.507
Farmacia Av. de San Luis 52,357.142.164,-70.564.661
Farmacia,404.634.921,-38.155.808
Farmacia,404.634.921,-38.155.808
Farmacia,404.634.921,-38.155.808
Farmacia López de Hoyos 121,403.928.101,-38.288.667
Farmacia en Madrid Serrano 207,403.928.101,-38.288.667
Farmacia 24 Horas,403.928.101,-38.288.667
Grande Ozcariz Aránzazu Marta,403.928.101,-38.288.667
Farmacia Alonso,403.928.101,-38.288.667
Farmacia,403.928.101,-38.288.667
Farmacia,403.928.101,-38.288.667
Carvajal Gallardo María Mar,403.928.101,-38.288.667
Casado Abajo María Jesús,403.928.101,-38.288.667
FARMACIA MARTEL,404.301.441,-38.176.307
Farmacia Farmalife Alcalá,404.265.899,-38.122.833
Farmacia,404.265.899,-38.122.833
Ayuso De Dios Miguel Angel,404.265.899,-38.122.833
Farmacia Silvano,404.265.899,-38.122.833
Amparo Villamayor Collado,404.265.899,-38.122.833
Farmacia,404.265.899,-38.122.833
Farmacia,404.265.899,-38.122.833
Martín De La Calle M Belén Arranz Holgueras C B,404.265.899,-38.122.833
Farmacia,404.265.899,-38.122.833
Farmacia Serrano 112,404.265.899,-38.122.833
Farmacia,404.265.899,-38.122.833
Farmacia Anabel Aguilar Lugo,404.265.899,-38.122.833
Farmacia,404.265.899,-38.122.833
Farmacia Alcala,404.265.899,-38.122.833
Farmacia Buezas C.B,404.265.899,-38.122.833
Farmacia Ramón y Cajal 111. Abierto 12H,404.265.899,-38.122.833
Perelló González Moreno Rosa María,404.265.899,-38.122.833
Farmacia Víctor de la Serna 1,404.265.899,-38.122.833
FARMACIA MARTEL,404.301.441,-38.176.307
Farmacia Peña Lorenzo,40.346.607,-39.633.858
Farmacia Silvela 56,404.351.221,-38.147.868
Farmacia Pérez de la Iglesia,40.356.719,-38.362.267
Farmacia,40.356.719,-38.362.267
Farmacia Arturo Soria Oui Pharmacie,404.299.438,-38.329.477
María Casas Galvez,404.299.438,-38.329.477
Panizo De Pablo Antonio,404.299.438,-38.329.477
Antigua farmacia de la Reina Madre,404.299.438,-38.329.477
Farmacia Aceña Sánchez C.B,404.299.438,-38.329.477
FARMCIA ALCALDE MORENO TORRES,404.299.438,-38.329.477
VIVA Farmacia | 12 horas,404.299.438,-38.329.477
Baviera C B,404.299.438,-38.329.477
Aragón García Marino,404.299.438,-38.329.477
Farmacia Valdebebas H24,404.299.438,-38.329.477
Farmacia Antonio de la Peña,404.299.438,-38.329.477
FARMACIA MARTEL,404.301.441,-38.176.307
Serrano 186,40.424.752,-37.749.207
Quierofarma,40.424.752,-37.749.207
Farmacia Rafael Larraz Murciego,40.424.752,-37.749.207
FARMAFY.es,357.142.164,-13.610.581
Fafmacia,404.259.119,-38.272.408
"Farmacia de Castro Domínguez-Gil, Ana",404.259.119,-38.272.408
Farmacia Cristina Sanz Fernandez,404.259.119,-38.272.408
La Botica de Villaverde,403.332.139,-38.513.118
Farmacia Carranza 9,403.332.139,-38.513.118
ALMAFARMA LABORATORIOS SL,403.332.139,-38.513.118
Farmacia La Esquina de Serrano,403.332.139,-38.513.118
Cortés Ortega Rosa María,403.332.139,-38.513.118
Silvia María Pardo Bellanato,403.332.139,-38.513.118
Farmaimpulsa,403.332.139,-38.513.118
Ales Groupe España S.L.,403.332.139,-38.513.118
Phyto,403.332.139,-38.513.118
FARMACIA MARTEL,404.301.441,-38.176.307
ABAO PHARMA SL,404.408.976,-38.203.385
Prosalud parafarmacia online,404.433.463,-38.176.368
Munilla Suárez C B,404.433.463,-38.176.368
NaturalSensia,404.433.463,-38.176.368
الصيدلية,404.433.463,-38.176.368
Viñuelas Adanez María José,404.433.463,-38.176.368
Drogueria J. Segoviano Perfumeria,404.433.463,-38.176.368
"Farmazul Gestión, SA",404.433.463,-38.176.368
Olympus Consulting,404.433.463,-38.176.368
✙ Farmacia Hernando-Ortopedia Vallecas Lda Ana Puertas Hernando,404.433.463,-38.176.368
García Manso Gómez Juan Manuel,404.433.463,-38.176.368
Sandoz Farmaceutica S.A.,404.433.463,-38.176.368
Vélez Riesco Mónica Marta,404.433.463,-38.176.368
Realfarma,357.142.164,-70.564.661
"Masfarma, Grupo de Farmacias",406.032.707,-38.573.414
Laboratorios Farmaceuticos Guerbet,404.290.811,-38.319.735
Miguel Angel Méndez Díaz,404.290.811,-38.319.735
Herbolario Sana Sana,404.290.811,-38.319.735
FARMACIA MARTEL,404.301.441,-38.176.307
Farmasoft informatica y servicios SL,404.301.441,-38.176.307
Hidelasa,404.301.441,-38.176.307
Match Point Farma,357.146.136,-70.565.873
Farmacia de Guardia,404.233.762,-38.428.223
Actafarma,357.142.164,-70.564.661
Abbvie Farmaceutica S L U,404.429.897,-3.810.124
La Botica de Mi Abuela,404.429.897,-3.810.124
Merck KGaA,404.429.897,-3.810.124
Alpha Bioresearch S.L.,404.486.233,-38.079.056
Guinama,357.142.164,-70.564.661
Lilly S A,404.506.406,-38.172.366
EPHOS - School of PharmaStudies,404.506.406,-38.172.366
Incimed,404.506.406,-38.172.366
Saludfar Pharma,357.146.136,-70.562.725
Equipamientos Sanitarios Sa,40.446.289,-38.024.957
bed&apos;s Madrid Corazón de María,40.446.289,-38.024.957
Medicinal.es Marketing Consulting Pharma,40.446.289,-38.024.957
Fundación ESAME. (Pharmaceutical Business School),42.304.574,-5.146.873
FARMACIA MARTEL,404.301.441,-38.176.307
Keybron,357.142.164,-70.564.661
Farmacia H24 CB,40.400.598,-40.263.547
Druni Perfumerías ®,404.445.849,-38.086.877
Almirall S.A.,404.445.849,-38.086.877
Mercedes-Benz,404.445.849,-38.086.877
Estudio Funciona,404.445.849,-38.086.877
Farmatalent Selección de Personal,404.445.849,-38.086.877
Parafarmacia Coronado,442.463.608,11.805.129
Giuliano Peluqueria Y Estetica Unisex,404.444.379,-38.095.694
Farmacia 24 Horas Cea Bermúdez 15 | Farmacia abierta 365 días | FARMACIA BELLVER,404.426.773,-37.215.112
Farmacia,404.426.773,-37.215.112
Farmacia Rosa Fdez. Vegas,404.426.773,-37.215.112
Farmacia,404.426.773,-37.215.112
Farmacia,404.426.773,-37.215.112
Farmacia Reina Victoria 8,404.426.773,-37.215.112
Farmacia Espronceda,404.426.773,-37.215.112
García Monescillo Farmacia,404.426.773,-37.215.112
"FARMACIA OPTICA ORTOPEDIA GA - CHAMBERÍ, MADRID",404.426.773,-37.215.112
Farmacia Abascal,404.426.773,-37.215.112
Farmacia Bravo Murillo 76 (Lda. María Soria Santos),404.426.773,-37.215.112
Farmacia Barrios de Tiedra,404.426.773,-37.215.112
Farmacia Concepción Ruiz Martínez,404.426.773,-37.215.112
Farmacia Filipinas 12 horas,404.426.773,-37.215.112
Farmacia Ríos Rosas 14,404.426.773,-37.215.112
Farmacia,404.426.773,-37.215.112
Farmacia M.C. Tudela Salvador,404.426.773,-37.215.112
Farmacia Cabrerizo Camarero,404.426.773,-37.215.112
Farmacia Esther Bellido Trullenque,404.426.773,-37.215.112
Farmacia Guerreiro González,404.426.773,-37.215.112
Giménez Mestre María Montserrat,404.426.122,-3.722.152
Telefarmacia App,404.426.122,-3.722.152
Farmacia Lérida García,404.426.122,-3.722.152
Farmacia M Paloma Reche Sainz,404.426.122,-3.722.152
Farmacia Ortopedia Paz García Monescillo,404.426.122,-3.722.152
Farmacia Dra. Beatriz Collado,404.426.122,-3.722.152
Farmacia Angeles Rivas,404.426.122,-3.722.152
Farmacia Polvorosa,404.426.122,-3.722.152
Farmacia Berrocal Valencia Cristina,404.426.122,-3.722.152
Farmacia Lda María Dolores Díez,404.426.122,-3.722.152
Farmacia Milagros Sebastián Velasco,404.426.122,-3.722.152
María Cuevas Galgo,404.426.122,-3.722.152
Farmacia Pérez Sánchez CB,404.426.122,-3.722.152
Farmacia Dra. Olga Toro,404.426.122,-3.722.152
Farmacia Medina Puerta María del Mar,404.426.122,-3.722.152
POLYCLONAL SL,404.426.122,-3.722.152
Farmacia Vazquez Oficialdegui,404.426.122,-3.722.152
Parafarmacia Abascal,404.426.122,-3.722.152
Farmacia Depepe,404.349.589,-37.229.357
Farmacia María José Hervella Arias,404.349.589,-37.229.357
Farmacia Barreneche Huici,404.349.589,-37.229.357
Farmacia,404.349.589,-37.229.357
FARMACIA CANAL,404.349.589,-37.229.357
Farmacia,404.349.589,-37.229.357
"Farmacia2Online, Farmacia Madrid",404.349.589,-37.229.357
Angona Fraile María Jesús,404.349.589,-37.229.357
FARMA 16,404.349.589,-37.229.357
Polvorosa Montés Ana Raquel,404.349.589,-37.229.357
Ortopedia RENTSICA,404.349.589,-37.229.357
Farmacia Quevedo,404.349.589,-37.229.357
Farmacia Farmalife Merinero,404.349.589,-37.229.357
Farmacia Plaza de España,404.225.112,-37.295.734
Farmacia,404.225.112,-37.295.734
Farmatalent Selección de Personal,404.415.916,-37.156.406
Pharmacold,404.415.916,-37.156.406
Farmacia -Ortopedia Barambio Martínez,404.244.093,-37.126.684
Angel de Castro Dominguez - Gil,40.447.166,-37.147.275
FARMACIA MARTEL,404.301.441,-38.176.307
Gilmar,404.301.441,-38.176.307
Farmacia Trébol Eloy 24 horas,404.301.441,-38.176.307
José María García Escribano Fernández Mazaramb,404.301.441,-38.176.307
Farmacia Juan XXIII,404.301.441,-38.176.307
Farmacia Zorita,404.301.441,-38.176.307
Farmacia Baztán Moreno,404.301.441,-38.176.307
Farmacia,404.301.441,-38.176.307
Córdoba Gallardo Juan José,404.301.441,-38.176.307
Farmacia 2346,404.301.441,-38.176.307
Sanjuan Malo María Concepción,404.301.441,-38.176.307
Farmacia 2346 Lda.Maria Josefa Palacios Corvillo,404.301.441,-38.176.307
FARMAFY.es,357.142.164,-13.610.581
Advisory Board Madrid | ADBOCON,404.474.188,-38.362.059
DMVP Formación España S.L.U.,404.474.188,-38.362.059
Farmacia,404.474.188,-38.362.059
Farmacia Av. de San Luis 52,357.142.164,-70.564.661
FARMACIA MARTEL,404.301.441,-38.176.307
Farmacia Ópera Madrid,40.346.607,-39.633.858
AMIR Dermocosmética y Formulación,40.346.607,-39.633.858
FARMACIA MUELAS CHAMBERI,40.346.607,-39.633.858
Farmacia Fernando el Católico 10,40.346.607,-39.633.858
Farmacia Serrano 112,404.299.963,-38.208.931
Farmacia,404.299.963,-38.208.931
Farmacia,404.299.963,-38.208.931
Farmacia,404.299.963,-38.208.931
Farmacia Fuencarral 114,404.299.963,-38.208.931
Zeltia,404.299.963,-38.208.931
1000 Ortopedias I Concentradores de Oxigeno I Mascarillas I Guantes desechables de un solo uso I Gafas protección I Ortopedias online,404.299.963,-38.208.931
▷ Farmacia Madrid ⊛ Farmamil,404.299.963,-38.208.931
Farmacia Conde Duque,404.299.963,-38.208.931
Farmacia,404.299.963,-38.208.931
Farmacia,404.299.963,-38.208.931
FARMACIA MARTEL,404.301.441,-38.176.307
Farmacia Carranza 9,40.346.607,-39.633.858
Farmacia Del Carmen,404.545.698,-38.430.792
Arquifarma,404.545.698,-38.430.792
FARMACIA ANA SEBASTIÁN DE ERICE CID,404.545.698,-38.430.792
Farmacia,404.545.698,-38.430.792
María Y Noelia González Andrés C B,404.545.698,-38.430.792
farmacia,404.545.698,-38.430.792
Farmacia Castellana 151,404.545.698,-38.430.792
"Noscira, S.A. en Liquidación",404.545.698,-38.430.792
Farmacia,404.545.698,-38.430.792
FARMACIA LASTRA,404.545.698,-38.430.792
Farmacia Ramiro Maldonado,404.545.698,-38.430.792
Díez Mendoza Luis Manuel,404.545.698,-38.430.792
Farmacia 365 dias,404.545.698,-38.430.792
Grupo Sanitario Vp,404.545.698,-38.430.792
AOP ORPHAN PHARMACEUTICALS IBERIA SL,404.545.698,-38.430.792
FARMACIA MARTEL,404.301.441,-38.176.307
Farmacia paseo de extremadura 124,404.379.543,-38.196.123
Farmacia,404.379.543,-38.196.123
Farma Express,357.142.164,-70.564.661
Farmacia,404.074.884,-38.407.044
Farmacia,404.074.884,-38.407.044
Farmacia,404.074.884,-38.407.044
Farmacia Leyre de la Iglesia,404.074.884,-38.407.044
Farmacia De La Fé,404.074.884,-38.407.044
"Farmacia de Castro Domínguez-Gil, Ana",404.074.884,-38.407.044
Antigua farmacia de la Reina Madre,404.074.884,-38.407.044
Farmacia Manteca Tahoces,404.074.884,-38.407.044
Vicente Vital Lara,404.074.884,-38.407.044
Farmacia,404.074.884,-38.407.044
Ortojer,404.074.884,-38.407.044
Laboratoires Bailleul España,404.466.485,-38.358.536
BOXFE SL,404.466.485,-38.358.536
FARMACIA MARTEL,404.301.441,-38.176.307
Ortopedia Álvarez,404.412.455,-38.393.204
Farmacia,404.412.455,-38.393.204
Farmacia Dehesa de la Villa,404.412.455,-38.393.204
farmacia online,404.412.455,-38.393.204
PDV PHARMA,404.412.455,-38.393.204
Douglas Perfumería,404.412.455,-38.393.204
HUMANA,404.412.455,-38.393.204
Health Microbiotics,404.412.455,-38.393.204
Destreza Legal Abogados,404.412.455,-38.393.204
Mundo Dependencia I Camas de Hospital I Sillas de Ruedas I ORTOPEDIA Madrid I Gruas Discapacitados,404.412.455,-38.393.204
TRIDE,404.412.455,-38.393.204
José Manuel Morán González,404.412.455,-38.393.204
San Juan de la Cruz 3,404.412.455,-38.393.204
FARMACIA MARTEL,404.301.441,-38.176.307
La Casa del Enfermo | Ortopedia en Madrid,403.811.836,-38.023.482
Farmacia Valera Arnanz,403.811.836,-38.023.482
Unique Treatments S.L,403.811.836,-38.023.482
Gimage,403.811.836,-38.023.482
Farmacia BARCELO,404.247.673,-37.074.936
Farmacia San Antón,404.247.673,-37.074.936
Farmacia Ortopedia Chueca,404.247.673,-37.074.936
Farmacia,404.247.673,-37.074.936
Farmacia Dos de Mayo,404.247.673,-37.074.936
Farmacia Carranza 9,404.247.673,-37.074.936
Farmacia Malasaña,404.247.673,-37.074.936
Farmacia Tribunal Apodaca,404.247.673,-37.074.936
Farmacia Piñero Panadero,404.247.673,-37.074.936
farmacia Dos de mayo,404.247.673,-37.074.936
"Farmacia Collazo- Hortaleza 2 Pharmacy,Pharmacie,药学",404.204.528,-37.096.153
Farmacia Puebla - La Central De Específicos,404.204.528,-37.096.153
Farmacia,404.204.528,-37.096.153
Rodríguez Sánchez,404.204.528,-37.096.153
Farmacia del Águila - Fuencarral 108 - Pharmacy - 365/12h,404.204.528,-37.096.153
Farmacia Sagasta,404.204.528,-37.096.153
Farmacia Mayoral Rubio,4.042.259,-37.092.447
Farmacia Caballero,4.042.259,-37.092.447
Farmacia Cepeda,4.042.259,-37.092.447
M. Ibarra,4.042.259,-37.092.447
Real Academia Nacional de Farmacia,4.042.259,-37.092.447
Farmacia Puerto,4.042.259,-37.092.447
Farmacia Sidonia Ripoll Gómez,4.042.259,-37.092.447
Diego Dabrio Polo,4.042.259,-37.092.447
Domingo Sanz María Teresa,4.042.259,-37.092.447
Javier Guerrero Aguilera,4.042.259,-37.092.447
Farmacia Cardona,4.042.259,-37.092.447
Jiménez Guerra María Ángeles,4.042.259,-37.092.447
Barquín Gonzalo C.B,4.042.259,-37.092.447
CAFÉ FARMACIA,4.042.259,-37.092.447
Farmacia Santa Teresa,4.042.259,-37.092.447
Farmacia Argensola (Farmacia Magistral) Farmacia Aquilino Corral Aragón,4.042.259,-37.092.447
FARMACIA MAYOR 13,404.162.307,-3.714.927
Farmacia López Vicente,404.162.307,-3.714.927
